,GRID_ID,geometry,idle_count,idle_time_count,pickup_count,dropoff_count,violations,parks,rest_indian,rest_cheap,hotel,Bangladesh,rs_count
10,CZ-15,"POLYGON ((-73.76608247139393 40.85486314969683, -73.76849740171728 40.8548680208905, -73.77007599012519 40.85695670728757, -73.7687466425584 40.85869430135984, -73.76836277228169 40.85835828900298, -73.76836085943968 40.85765536258818, -73.7653324399253 40.85504359497349, -73.76608247139393 40.85486314969683))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
11,CA-36,"POLYGON ((-73.88441680170517 40.76536418757384, -73.88758414287561 40.76536732160304, -73.88916434321969 40.7674544063865, -73.88757710210555 40.76953842203902, -73.88440956256035 40.76953528781547, -73.88282946273267 40.76744813813397, -73.88441680170517 40.76536418757384))",4.1698630137,752.321369863,23.9616438356,59.1452054795,0.0,0.0,0,5,4,0,0.0
12,BK-57,"POLYGON ((-73.96048502741766 40.67782163906941, -73.96364821320027 40.67782268193121, -73.96522871906691 40.67990874735775, -73.96364593942282 40.68199383508454, -73.96048255578533 40.68199279215803, -73.95890214987503 40.67990666156953, -73.96048502741766 40.67782163906941))",20.4657534247,2332.21922374,69.3561643836,122.616438356,0.0,0.0,2,24,3,0,0.0
13,BE-70,"POLYGON ((-73.98896267783331 40.62360271739915, -73.99212329496747 40.62360297739235, -73.9937034065715 40.62568866442074, -73.99212280268564 40.62777415649407, -73.98896198801783 40.62777389648473, -73.9873819756573 40.62568814441826, -73.98896267783331 40.62360271739915))",1.40401146132,796.06408787,0.143266475645,2.54441260745,0.0,0.0,0,4,0,0,0.0
14,CW-40,"POLYGON ((-73.78310283481414 40.75270463393204, -73.77993610317749 40.7526986275469, -73.7783596762015 40.75061004195823, -73.77994988174449 40.74852752656656, -73.78311641510842 40.74853353257924, -73.784692942075 40.75062205435774, -73.78310283481414 40.75270463393204))",0.159468438538,35.030841639,0.046511627907,2.02657807309,0.0,0.0,0,2,0,0,0.0
15,BR-90,"POLYGON ((-73.93056569082914 40.54641513524531, -73.93057378155289 40.54641220063, -73.93057155374382 40.54641513879025, -73.93056569082914 40.54641513524531))",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
16,BU-26,"POLYGON ((-73.91286831498891 40.80710015727696, -73.91603764403909 40.8071025090869, -73.91761972739239 40.80918919001211, -73.91603238205597 40.81127358353365, -73.91286285438186 40.81127123157791, -73.91128087133777 40.80918448624696, -73.91286831498891 40.80710015727696))",7.01643835616,1704.43164384,7.01095890411,26.7753424658,1.0,1.0,0,19,0,0,0.0
17,CI-27,"POLYGON ((-73.84766805236104 40.80516644881904, -73.84790298627765 40.80500217917671, -73.84807624686718 40.8049196409021, -73.84825364778001 40.80490100728366, -73.84840272830363 40.80485807668863, -73.84855540463389 40.80479358815647, -73.84860518180092 40.80474244211339, -73.84864784664302 40.80469937139832, -73.84870097948581 40.80473178619815, -73.84870289581231 40.80483290853969, -73.84870423847146 40.80485847279, -73.8487431726319 40.80489625932572, -73.84879992115826 40.80489902986672, -73.84883551539254 40.80484516812521, -73.84883560701341 40.80480482495319, -73.84883562557644 40.80479665114071, -73.84887115240724 40.80477243915621, -73.8489066363822 40.80476709527728, -73.8489460396512 40.80476216895193, -73.84898109621216 40.80478067062573, -73.84903072021211 40.80479690679904, -73.84908379950289 40.80485357991571, -73.84910521453644 40.80489775224989, -73.84911910631931 40.80492640182349, -73.84916510411144 40.80497767344006, -73.84921466605663 40.8050208641121, -73.84933382286654 40.80505121816584, -73.84931789000373 40.80466146553034, -73.8494103635803 40.80466797631198, -73.84942852612453 40.80505982820943, -73.84952672150757 40.80506439858885, -73.84961180438783 40.80508607298161, -73.84970756217722 40.80509428254855, -73.84982107181865 40.80509443047621, -73.84997722743808 40.80505959535262, -73.85006279737695 40.80486563817228, -73.8500842000026 40.80477933149024, -73.85011291215133 40.80466355014234, -73.85012150803175 40.80463332793764, -73.85013436484707 40.80458810714335, -73.85014867510041 40.80453421912483, -73.85019839137567 40.80451002517497, -73.85033560064834 40.80451584322213, -73.85036247133151 40.8045125642651, -73.85064954583092 40.80447751718193, -73.85071258859044 40.80447759883972, -73.8510711309188 40.80495134520343, -73.84948180328833 40.80703482394155, -73.84832929559072 40.80703331343336, -73.84832891896801 40.80703150482766, -73.84828024068138 40.80685240526181, -73.84834937101826 40.806673459802, -73.84839879814733 40.8065243282419, -73.84837953711588 40.80636018596108, -73.84828163502193 40.80624069953702, -73.84811499103559 40.80612858311942, -73.84798630544741 40.80610305093152, -73.84785003754345 40.80607601466394, -73.84763420663985 40.80600859015414, -73.84753621977777 40.80592640257309, -73.8475170635825 40.80571750183068, -73.84748822695923 40.80544890945219, -73.847527769495 40.80532960501832, -73.84766805236104 40.80516644881904))",0.177419354839,10.0676075269,0.0322580645161,1.03225806452,0.0,0.0,0,0,0,0,0.0
18,BJ-32,"POLYGON ((-73.96517426266746 40.78418685018241, -73.96834250207351 40.78418776404536, -73.9699256792504 40.78627373434288, -73.9683405187569 40.78835885590681, -73.96517208086327 40.78835794198717, -73.96507570501585 40.78823095112306, -73.96524054590513 40.78818728112727, -73.96541621069913 40.78812263298317, -73.96559817358231 40.7880256314527, -73.96577716041412 40.78790663041249, -73.9658177929291 40.78786870436611, -73.96590386202298 40.78778835925069, -73.96597379447211 40.78770529159519, -73.96608416233191 40.78753067106134, -73.96615127785647 40.7873478449639, -73.96617694443052 40.78722242981584, -73.96621276578703 40.78704747296945, -73.96649628702279 40.78585585954394, -73.96662174822332 40.78529474858669, -73.96662179104621 40.78520932704503, -73.9665962257972 40.78513363340241, -73.9665592766477 40.78506010575833, -73.96649956660993 40.78498656158197, -73.96641994383397 40.78491301337434, -73.96632894122698 40.78485027500697, -73.96603054292828 40.78464457595794, -73.96578288086026 40.78449872051871, -73.96563214075999 40.78442082821671, -73.96544725875937 40.78434508578808, -73.96515997385781 40.78423795668891, -73.96514091887725 40.78423070807897, -73.96517426266746 40.78418685018241))",1.25753424658,140.790136986,484.402739726,554.191780822,4.0,0.0,0,15,1,0,0.0
19,CF-40,"POLYGON ((-73.86385040761797 40.75491393574482, -73.86068356474318 40.75491014923883, -73.8591045543866 40.75282266960659, -73.86069228787224 40.75073904170012, -73.86385893245966 40.75074282797129, -73.86543804250141 40.75283024238456, -73.86385040761797 40.75491393574482))",11.7068493151,1896.11776256,11.1315068493,68.4356164384,1.0,0.0,0,34,0,0,0.0
